,Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
577,MLR Forestal,Advisory Services,,Completed,Latin America and the Caribbean,Nicaragua,,,2014-12-17T05:00:00Z,,,,"IFC will assist MLR Forestal to conduct a benchmarking analysis of experiences in plantation and wood (and plant) wastes to energy projects developed by IFC clients, partner companies, and other wood-based projects. This will ensure relevant, reliable
 
 and structured information for designing a viable fuel supply for a biomass-cogeneration project in Siuna, Nicaragua. This will be complemented by site visits to the Northern Atlantic region where Siuna is located to analyze logistical, financial, legal
 and 
 physical factors affecting the viability of the project. local variables will be analyzed to ensure sound decision-making by the company to determine whether to go forward or not with the project under consideration. Deliverables will include a presentation
 
 on relevant experiences, an analysis and model of volume calculations for Siuna plantations, and a final report with recommendations to the company.",,,,,,"MLR Forestal is a Nicaraguan company interested in a pre-feasibility study that will allow it to determine whether or not to utilize wood and plant wastes from company lands to fuel an energy generation project in Siuna. IFC's involvement in this phase of the MLR project in and of itself, will not generate any development impact. It will however, provide results that may  allow the client to expand and improve its reforestation effort in the Northern Autonomous Atlantic Region of Nicaragua (RAAN for its initials in Spanish), possibly as part of an energy project that would  reduce the town of Siuna's reliance on fossil fuels for its energy needs (diesel is currently shipped to Siuna and burned to provide energy). 

Assuming that the result of the analysis is a positive recommendation to proceed with the cogeneration plant and that MLR does indeed develop the same, utilization of the recommendations provided by IFC would ultimately increase the likelihood of a successful, environmentally sound, wood and plant-based energy project that would positively affect many farmers and communities in the RAAN by establishing the business case for reforesting degraded lands, reducing emissions leading to climate change, and by protecting standing forests with carbon stocks from conversion to non-forest uses.  

The amount of direct jobs generated by a successful plantation-manufacturing-energy enterprise will also be high (the company currently reaches a peak of 500 employees without any manufacturing or energy-related activities, and only 1,700 ha; whereas it will grow to > 10,000 ha)",,,,,,,,,,,,,,,600532,,,"Manufacturing, Agribusiness & Services",,2014-09-02T04:00:00Z,
578,Women Insurance,Advisory Services,,Completed,World,World Region,,,2014-12-17T05:00:00Z,,,,"The project is designed to carry out a market assessment to explore the business case for reaching the womens insurance market in developing countries. The assessment is also expected to highlight the potential development impact and commercial returns
 
 from womens greater participation in the insurance industry, both as members of the distribution channel and as consumers. The assessment will be carried out in collaboration with AXA, in 10 countries and up to 4 regions, in emerging markets that show high-growth
 
 potential for the insurance sector and opportunities in the womens market. The assessment results will be disseminated widely to the stakeholders, and the report will be available to the public.",,,,,,"This is a market assessment. Hence, no direct development impact is expected.",,,,,,,,,,,,,,,600600,,,Cross-Industry Advisory Services,,2014-10-14T04:00:00Z,
579,Lighting Ethiopia,Advisory Services,,Completed,Africa,Ethiopia,,,2014-12-23T05:00:00Z,,,,"The WBG through the Lighting Africa Program in Ethiopia aims to increase access to better, cleaner and safer off-grid lighting to the rural populations not connected to the grid. The program will accelerate the development of the markets for modern, quality
 
 off-grid lighting products targeting the rural population who currently use kerosene and dry cell batteries as their main sources of lighting.

The program will accomplish this by undertaking a number of market development activities:
-Market Intelligence:
 
 to help product marketers and distributors understand the new off-grid lighting market segment, supply and distribution chains. The insights from the research will serve to inform their business and strategic plans.
-Quality Assurance: promoting the adoption
 
 of Lighting Global quality standards across the sector to counter the risk of market spoilage from the infiltration of low quality products that erodes confidence in the new off-grid technologies among consumers, financiers and stakeholders.
-Access to
 finance: 
 adequate financing along the entire supply chain has been identified as being critical for the growth of the off-grid lighting market. The program will develop financing facilities through financial institutions to meet the demand from the market.
-Consumer
 
 Education: to create awareness, for a market to grow and thrive, consumers must know what products are available and understand the value and benefits of these products over what they are currently using (kerosene and candles). Consumers must also be able
 
 to distinguish between good and poor quality products in order to get good value for their scarce resources. 
-Business Development Support: provide a range of market and business development support activities directly to manufacturers, distributors and
 
 retailers with the objective of fostering competition and creating a vibrant and competitive market that will extend distribution to the rural areas.",,,,,,"With 85% of the rural population in Ethiopia using kerosene as their primary source of lighting, the program seeks to reach the rural population with quality, non-fuel-based off-grid lighting through catalysing the market to sell Lighting Africa quality-verified products. In addition, this will result in the avoidance of green-house-gases which would have been generated through the use of kerosene for lighting.",,,,,,,,,,,,,,,600201,,,Cross-Industry Advisory Services,,2014-10-15T04:00:00Z,
580,Kosovo GenCo,Advisory Services,,Completed,Europe and Central Asia,Kosovo,,,2014-12-30T05:00:00Z,,,,"IFC, as part of a joint project with the World Bank, will act as a strategic advisor to the Government of the Republic of Kosovo to support its Project Implementation Unit in the overall process management of the transaction in a way that ensures a fair
 
 and transparent bidding process, compliance with applicable Kosovo laws, and compliance with the applicable technical, financial, environmental, and social standards of the EU, IBRD, and IFC. IFC will work alongside the Governments lead project advisor
 Raiffeisen 
 Investment and its sub-contractors Hunton & William (legal advisor) and RWE (technical advisor). IFCs role is limited to providing strategic advice until the selection of the winning bidder, after which IFC may consider whether it will engage
 in further advisory 
 services to bring the project to completion.",,,,,,"IFC will act as strategic advisor to the Ministry of Economic Development, which acts on behalf of the Government of the Republic of Kosovo, to introduce private sector participation in the Kosova e Re project. The success of the project will result in:
(i)	reliable energy supply for the Kosovo economy;
(ii)	significant reduction of the social and environmental impacts of electricity generation.

The overall objective of the project, which will materialize after the commissioning of the power plant, will be improved energy supply with positive impact on businesses, security of supply and energy independence, and reduction of CO2 emission with the foreseen replacement of the old polluting Kosovo A plant with an efficient Kosovo C plant.",,,,,,,,,,,,,,,600274,,,Public-Private Partnerships Transaction Advisory,,2014-06-21T04:00:00Z,
581,Investor Protection,Advisory Services,,Completed,Africa,Country Name Pending,,,2015-01-13T05:00:00Z,,,,"This project aims to :-
 (1) Reduce legal and administrative barriers to foreign investment, 
(2) Enhance investor confidence by strengthening the legal and regulatory framework for foreign investor protection and by improving the transparency and predictability

 
 in the implementation of investment policies. 
(3) Strengthen investment promotion in target sectors (food & Beverages, tourism and leather/garments), as a result contributing to increased foreign direct investments.",,,,,,The project aims at helping the country sustain its current rapid and inclusive pace of economic growth through increased and robust private sector participation in the economy.,,,,,,,,,,,,,,,600316,,,Trade and Competitiveness,,2014-10-24T04:00:00Z,
582,Construction Permits,Advisory Services,,Completed,Middle East and North Africa,Afghanistan,,,2015-01-13T05:00:00Z,,,,"According to the Doing Business Report 2013, Afghanistan ranks 164th among 183 economies on the ease of dealing with construction permits indicator. Currently, investors need to wait for a period of at least 334 days in order to get a construction permit.
 
 Alternatively, they need to pay bribes to speed up the process. This situation discourages local and foreign investors and gives way to corruption. There is a pressing need to eliminate unnecessary delays, reduce corruption in issuing permits, and increase
 
 investor interest in the construction sector through the reform and simplification of construction permit issuing process within Kabul Municipality. By establishing a streamlined permit process, the Government of the Islamic Republic of Afghanistan (GIRoA)
 
 seeks to reduce corruption in this priority area as a step towards transparent institutions dealing with the private sector. In 2012, Transparency Internationals Corruption Perceptions Index (CPI) ranked Afghanistan 174 out of 176 countries. Several obstacles
 
 cited by Afghan businesspeople, including access to land, the construction permit issuance process, anti-competitive behavior and tax administration are closely related to corruption.

The objective of this project is to develop a simplified yet effective
 
 construction permit system and regulatory framework that would improve the governments capacity and efficiency in issuing construction permits. By doing so, the private sector will benefit from a reduced burden and cost at the national and sub-national
 levels, 
 through the elimination of the CP bottleneck, which hampers the capacity of the growing Housing Sector in Afghanistan to meet the demand gap. A streamlined CP process would also minimize opportunities for corruption thanks to an improved and increasingly
 transparent 
 process. This would serve as a foundation for boosting the ease of doing business and investors perception. The new CP framework will also establish the framework for the GIRoA to retroactively formalize unpermitted buildings. The project aims
 to reduce the 
 time it takes to obtain construction permits and to improve the capacity of the civil servants operating the CP process. Changes are expected to increase both the efficiency and capacity of the Kabul Municipality to issue construction permits
 and, hence, increase 
 applications under the reformed permits system. In addition, expected savings to the private sector, as a result of the improved system, would be achieved over the longer term of the project. 

The project will provide the technical
 support to:
- Implement 
 and monitor the endorsed simplified new CP manual processes and related reporting package in the City of Kabul to ensure a smooth process flow and make necessary adjustments based on early implementation results. Supported by the
 ICT Global, the Project Team 
 will provide the technical support needed to ensure an adequate selection of the software provider/developer, the delivery and implementation of improved management reporting tools to monitor the CP process workflow.
- Provide
 the necessary legal expertise 
 to support the clients legal functions in drafting the legal framework changes in light of best practices, tailored to the Afghanistan local context and guide the client through consensus-building activities around the reform
 among government officials and 
 private sector players, through consultation and awareness-raising events.
- Support the GoA in the implementation of the Capacity Building/Training Plan. The Training Plan will comprise two levels to address operational
 level staff and management (decision 
 making) level officials.
- Run the Private Public Dialogue (PPD) as per the design stage.",,,,,,"The Investment Climate regulatory reform intervention is aimed at streamlining Construction Permitting procedures, which has long been regarded as a major obstacle to the development of the Housing Sector. The objective of this project is to support the Government of Afghanistan at the national and sub-national level in developing the Construction Permitting system by creating a transparent and simplified regulatory framework, which realizes public good health and safety policy objectives and reduces the complexity of the Construction Permitting process; hence, reduce private sector compliance cost.",,,,,,,,,,,,,,,599536,,,Trade and Competitiveness,,2014-05-09T04:00:00Z,
583,Support to Agricultural Production,Advisory Services,,Completed,Europe and Central Asia,Ukraine,,,2015-01-20T05:00:00Z,,,,"To achieve the overall goal the Project will work to increase access to finance for farmers, agri-businesses and agricultural value chains. By its completion, the Project will: 
1. Enhance the agri-lending capacity of FIs with a focus on Ukraine, but
 also expanding operations to the Western Balkans, Azerbaijan, Moldova, and possibly South-West Russia, using proven agri-lending methodologies and tools; and with agri-insurance by FIs to mitigate external, weather related risks. 
2. Implement focused schemes
 in PPP partnerships to design and launch agricultural insurance products designed particularly for FIs lending to the sector and needing instruments to improve their risk management. 
3. Serve as a regional platform for knowledge management (product adaptation
 and deployment and further development) resource for work with FIs in the ECA region to support opportunities for Agri SMEs lending and agri-insurance development.",,,,,,"The overall objective of the EE Agri A2F Project is to increase Access to Finance for small and medium agricultural producers to support agricultural production and small businesses providing services to agricultural producers.
The project will support the """"KRK Kosovo"""" to help the client improve its agri-financial services.",,,,,,,,,,,,,,,600339,,,Finance and Markets,,2014-11-20T05:00:00Z,
584,Nepal Hydropower,Advisory Services,,Active,South Asia,Nepal,,,2015-01-20T05:00:00Z,,,,"The overall objective of the project is to increase the sustainability of hydropower development in Nepal by providing assistance to the private sector as well as to the Government of Nepal. The project aims to promote the adoption of good international
 
 industry practices. The project will support hydropower companies to comply with good international project development practices. At the same time the project will work with the Ministry of Science, Technology, and Environment to enhance its capacity in
 assessing 
 and monitoring Environmental Impact Assessment for infrastructure projects.",,,,,,"The project intends to promote sustainable hydropower development in Nepal. The project engages directly with private sector hydropower project developers and their contractors in order to increase the amount of hydropower projects in Nepal to comply with good international industry practices. At the same, the project extends assistance to Ministry of Science, Technology and Environment in upgrading current Nepali standards to good international industry practices. As a result, this project will reduce the risk for adverse social and environmental impact from hydropower development and strengthen the pipeline of investable hydropower projects.",,,,,,,,,,,,,,,599991,,,Cross-Industry Advisory Services,,2014-09-27T04:00:00Z,
585,Poultry Supply Chain,Advisory Services,,Completed,Region Name Pending,Country Name Pending,,,2015-01-29T05:00:00Z,,,,"This Project will directly impact productivity and supply chain efficiency within the Company's integrated operations from day-old-chick (DOC) incubation, feed production, broilers and egg layers growing, slaughtering/processing, and retailing with poultry



 
 & egg outlets and feed and DOC outlets. The advisory provided is expected to support the Company's adoption of international best practices and transform the Company into a leading food company in said country. The project will achieve this by:

a) Designing



 
 and implementing HACCP-based Food Safety Management System (FSMS);
b) Improving the Company's Environmental and Social Management System (ESMS); and
c) Reducing broiler production costs. 

A possible Phase 2 of the project under discussion with the
 client


 
 may include:
d) Supporting increase in maize production and procurement from commercial and outgrower operations; and
e) Building the business and financial management capacity of outgrower poultry farmers in the Company's supply chain.",,,,,,"This project will directly impact productivity, food safety and enivronmental and social impact within the company's integrated operations from day-old-chick (DOC) incubation, feed production, broilers and egg layers growing, slaughtering/processing, and retailing with poultry & egg outlets and feed and DOC outlets. The advisory provided is expected to support the company's adoption of international best practices and transform the company into a leading food producer in the country.",,,,,,,,,,,,,,,593167,,,"Manufacturing, Agribusiness & Services",,2014-11-18T05:00:00Z,
586,PPCR -AGRI BD,Advisory Services,,Completed,South Asia,Bangladesh,,,2015-01-29T05:00:00Z,,,,"Project location: Twelve polders in the coastal region - Satkhira, Khulna, Bagherhat, Pirozpur, Barguna, Patuakhali, Bhola, Noakhali, Lakshmipur, Feni, Chittagong and Coxs Bazaar.

Approach: The main approach will be to work through lead firms (LFs)
 
 in the agribusiness sector that are disposed to taking risks, but see the opportunities to promote climate smart agriculture in project areas. The LF approach involves working directly with identified companies to strengthen their supply chain, ability
 to 
 provide products and services in markets with high demand, and improve their organizational capacity. Three LFs will be engaged in the pilot phase and optimally two additional LFs will be engaged to scale-up activities. 

Interventions should also
 result 
 in viable business models in terms of adoption of climate resilient farming practices, climate change risk management capacity of the private sector (including farming communities); market linkages established at input and output levels.

Key components
 
 of the project:
Component-1: Build capacity of agribusiness to better cope with climate change risks in the supply chain
Component-2: Build capacity of farmers to better cope with climate change induced production risks
Component-3: Facilitate increased
 
 access to finance for farmers in the climate risk prone areas through introducing risk management products like Cyclone Index Insurance.",,,,,,"The goal of the project is to increase farmer and agribusiness firm revenues through the adoption of sustainable climate smart agribusiness technologies and practices. The project aims to demonstrate a business model for CSAgri technologies, products and services that can improve productivity of farmers and make them more resilient to climate change. This in turn offers incentives for private sector to invest in CSAgri related products and services to ensure sustainable sourcing. 

The project is expected to increase revenue for both lead firms and farmers involved through better crop yield. Additionally the project aims to develop and pilot a cyclone index insurance product.",,,,,,,,,,,,,,,584887,,,Sustainable Business Advisory,,2014-08-01T04:00:00Z,
587,Investment Policy,Advisory Services,,Completed,East Asia and the Pacific,Myanmar,,,2015-02-10T05:00:00Z,,,,"The project is focused on: (1) improving legal and regulatory framework, (2) improving administrative processes through simplification of procedures and establishment of supporting mechanisms, and (3) rationalization of investment incentives. The project
 
 will work with the Ministry of National Planning and Economic Development to: i) combine the Foreign Investment Law and the Citizen Investment Law into a new Investment Law; ii) revise screening and approval procedures (entry); iii) assess investment protection
 
 gaps and review incentives granting policies and procedures.; and iv) support implementation of reforms. 

Following the completion of the new Investment Law the project will focus on implementing a concrete set of activities to promote investments in
 diversified 
 sectors. Broadly, this will entail reforming the regulatory framework and implementing new procedures for: 1) promoting sector-specific investment entry, 2) strengthening investor protection guarantees; and 3) redesigning and implementing new
 incentives policies. 
 

The project will support stakeholder consultation during the preparation of the new Investment Law as well as during the preparation of implementing regulations.",,,,,,"The overall goal of the project is to assist the Government of Myanmar to attract sustainable private sector investment and generate savings for the private sector through streamlined administrative procedures. This will be achieved by: 1) improving the
 
 legal and regulatory framework to strengthen investor protections, 2) streamlining investment entry procedures; and 3) improving the investment incentive regime. Investment policy improvements will give greater confidence and clarity to investors regarding
 
 key protections while also reducing the time required for obtaining necessary approvals as a result of streamlined procedures.",,,,,,,,,,,,,,,600309,,,Trade and Competitiveness,,2014-06-19T04:00:00Z,
588,Investment Climate,Advisory Services,,Completed,East Asia and the Pacific,Myanmar,,,2015-02-10T05:00:00Z,,,,"The project supports Myanmar's priorities to promote private sector development through creating a more conducive business environment that attracts domestic and foreign private sector investment and stimulates sustainable economic growth in Myanmar. 

Specifically,
 
 the project will provide advisory services to the Myanmar government and the private sector to: i) strengthen the role of the private sector in the policy reform process, and ii) support legal and regulatory reform and the streamlining of administrative
 procedures. 
 The project is broken down into three components: (1) establishment of a public-private dialogue (PPD) platform through the Myanmar Business Forum (MBF); (2) improve business regulation in Myanmar through institutional support and implementation
 of initial 
 regulatory reforms; and (3) improve trade logistics.",,,,,,"The goal of the project is to help Myanmar improve its business environment by supporting related state institutions and private sector participants in legal and regulatory reforms and by strengthening the advocacy role of the private sector. The project
 
 seeks to achieve this goal through i) Establishing a Myanmar Business Forum (MBF), a structured PPD platform for legal and regulatory reform issues, ii) Improving business regulations, and iii) Streamlining trade procedures to improve trade logistics. It
 is 
 expected that the project will help generate about USD 30 Mill in annual private sector savings and compliance cost savings thanks to improve business regulation & procedures.",,,,,,,,,,,,,,,600430,,,Trade and Competitiveness,,2014-09-30T04:00:00Z,
589,Fullerton MF,Advisory Services,,Completed,East Asia and the Pacific,Myanmar,,,2015-02-11T05:00:00Z,,,,"The project will support the establishment of Fullerton Finance Myanmar Co. Ltd., as a greenfield microfinance insitution in Myanmar. Areas of support will include: building the institution organizational structure, staff training, risk management, operational
 
 
 policies and procedures, rural outreach and responsible finance. Through this project, the new institution is expected to bring international sound practices tailored to the Myanmar context and generate market demonstration effect for a balanced double
 
 bottom 
 line approach with a social focus while being commercially sustainable.",,,,,,"The project aims to increase access to finance in Myanmar by supporting the establishment of a greenfield microfinance institution (Fullerton Finance Myanmar Co. Ltd.) using a financially sustainable business model.  It will build the institution's capacity, support outreach to women and rural clients, and impart responsible finance practices.",,,,,,,,,,,,,,,600210,,,Financial Institutions Group,,2014-06-19T04:00:00Z,
590,Thimphu ParkPTAS,Advisory Services,,Completed,South Asia,Bhutan,,,2015-02-11T05:00:00Z,,,,"IFC will assist the Client in building capacity to support the implementation of the Concession Agreement for the design, construction and implementation of two new multi-level car parks, along with the operation and maintenance of existing off-street

 
 and on-street car parking facilities.

IFC will provide training to officials on contract management, monitoring and implementation.",,,,,,"The project aims to ensure the smooth implementation of an integrated car park project in Thimphu, which will help alleviate traffic congestion and facilitate the development of mass public transportation which is vital for the growing city.",,,,,,,,,,,,,,,600671,,,Cross-Industry Advisory Services,,2014-12-17T05:00:00Z,
591,Yoma,Advisory Services,,Completed,East Asia and the Pacific,Myanmar,,,2015-02-11T05:00:00Z,,,,"The advisory engagement will support Yoma Bank in its efforts to upgrade operations, expand its financial services offering, and build a competitive market position.

The project will focus on three components :
1. Developing and implementing a comprehensive
 
 risk management framework.
2. Strengthening of SME banking operations.
3. Conducting assessment to develop complementary intervention to support Yoma's business.",,,,,,The project aims to strengthen the foundation of Yoma Bank as a modern and competitive financial institution to better serve the un- and under-banked population in Myanmar.,,,,,,,,,,,,,,,599779,,,Financial Institutions Group,,2014-08-27T04:00:00Z,
592,Waste to Energy,Advisory Services,,Completed,South Asia,Bangladesh,,,2015-02-12T05:00:00Z,,,,"This Waste to Energy Scale up project aims to provide clean electricity access to the poultry/dairy farms to reduce their operational costs, by replacing diesel/kerosene to biogas; supporting the systematic expansion of the market for Waste to Energy.
 
 

The project will offer following services to address the market needs: 
a. Enhance technical knowledge of poultry/dairy businesses, and organic fertilizer companies on waste to energy/electricity and/or market development for organic fertilizers; in-depth
 
 feasibility level advisory engagements with businesses.
b. Offer a sustainable solution for waste to energy technology development and organic fertilizer market development with linkages to private sector stakeholders and international best practices through
 
 establishment of a knowledge solutions hub.",,,,,,"The overall objective of this project is to improve clean energy use in agriculture through the scale-up of biogas to electricity projects in the poultry and dairy sectors in Bangladesh.  The project will have the following direct impacts: 
(a) Facilitate production of clean energy from farm waste.
(b) Contribute to the reduction of greenhouse gas emissions.",,,,,,,,,,,,,,,600237,,,Cross-Industry Advisory Services,,2014-10-14T04:00:00Z,
593,One TECH Business Edge,Advisory Services,,Completed,Middle East and North Africa,Tunisia,,,2015-02-20T05:00:00Z,,,,"The overall goal of this project is to provide an IFC investment client, One TECH Holding, customized advice and tools to strengthen the One Tech training department by providing the trainers with IFC Business Edge training skills, so that One TECH can

 
 maximize the impact of its training to staff. The project will also provide One TECH engineers with curriculum design skills, so they can incorporate the IFC Business Edge adult learning methodology in their training curriculum.",,,,,,"The Project will focus on strengthening the training delivery skills of One TECH internal trainers, by training them on IFC Business Edge tested delivery methodology to deliver more effective training to One TECH staff.",,,,,,,,,,,,,,,600508,,,Cross-Industry Advisory Services,,2014-08-18T04:00:00Z,
594,Corporate Governance Program,Advisory Services,,Completed,Africa,Ghana,,,2015-02-20T05:00:00Z,,,,"GhCGP aims to build sustainable businesses and improve the business environment in Ghana through targeted CG services. 

1: Firm-level: Provide direct assistance to selected firms. CG offer to firms include: 
- CG Assessment and Development of Improvement
 
 Plan
- Training on CG principles, practices and framework as well as benefits thereof
- Advisory on Board Committee functions
- Developing Board Charters
- Improving internal financial reporting and transparency procedures.
 
2: Market-level: Build
 capacity 
 and strengthen CG intermediaries and market infrastructure through training-of-trainers events and other interventions to help training institutes, Local CG service providers and other market intermediaries (associations, investors, media, consultants)
 increase 
 outreach to firms and become self-sustaining. 

3: Policy-Level: IFC will work to support establishment of sound CG regulatory frameworks aligned with international best practice. IFC will work with regulators to develop a uniform CG code to
 be utilized 
 across sectors, as well as promote the implementation of the existing CG code for listed firms. This could include working with SEC, Bank of Ghana and other entities that work on advancing laws, regulations, codes or CG score cards. Capacity
 Building for the 
 Regulators will be a priority.

4: Macro-Level: In Ghana, generating awareness of CG is of great importance in order to build the case and momentum for changing practices and reforming the macro environment. Awareness raising activities
 to trigger interest 
 and awareness, launch CG talks or introduction series in Ghana around mobilizing themes for the private sector such as the business case for CG, the independent director, related party transactions, conflict of interest etc. This will
 involve disseminating 
 CG best practice materials, including using case studies developed from the work with firms to help demonstrate the impact of good CG practices in the region; and supporting a network of companies to promote good CG practices.",,,,,,"The overall goals of the program are to improve firm performance (improved decision-making, risk management, operating efficiency, profit and valuations) and facilitate financing (reduced costs of capital, improved loan terms and increased access to investors) by promoting better CG practices among the companies in Ghana. The overall goal of this project is to contribute to economic development in Ghana by promoting good corporate governance at the firm, market, regulatory and macro levels. To reach this goal, the programs objectives are 

Objective 1: Firm-Level:  
Assist target companies to improve CG practices, which would impact on board effectiveness, brand value and access to financing options 

Objective 2: Market-Level:  
Market-level: build capacity and strengthen CG intermediaries and market infrastructure through training-of-trainers events, one-on-one training on CG service provision, and other interventions to help institutes and market intermediaries increase outreach to firms and become self-sustainable. 

Objective 3: Policy-Level: 
Assist in developing the CG regulatory environment (e.g., laws, codes, listing rules) and build the capacity of selected industry regulators with tools and training (e.g., central banks, capital market authorities, insurance sector) 

Objective 4: Macro-Level:  
Raise awareness of the benefits of good CG practices across the country by developing publications and participating in selected awareness raising events and initiatives",,,,,,,,,,,,,,,600667,,,"Environment, Social and Governance",,2014-11-10T05:00:00Z,
595,FCMB III SEF AS,Advisory Services,,Completed,Africa,Nigeria,,,2015-02-27T05:00:00Z,,,,IFC will provide technical assistance support to FCMB Bank to assist with the development of FCMB's internal capacity to successfully implement an energy efficiency and renewable energy financing line targeting SME borrowers in Nigeria.,,,,,,"- Transfer of international best practice in Sustainable Energy Finance (""""SEF"""") to FCMB;
- Greenhouse Gas emission reduction as the result of the implementation of the SEF facility by FCMB
- Demonstration effect through innovation:  IFC's first climate change financing program through a local FI in Nigeria.",,,,,,,,,,,,,,,600478,,,Financial Institutions Group,,2014-09-19T04:00:00Z,
596,Global Index Insurance Facility,Advisory Services,,Completed,South Asia,Bangladesh,,,2015-03-04T05:00:00Z,,,,"Project implementation includes a pilot phase to develop and test the products. This would be followed by the scale-up phase once the product is found to be acceptable to the insurer and distribution channels.  IFC will provide advisory support in the following two components:
Component 1:  Product Development and Deployment - AS to Green Delta in index insurance product design; 
Component 2: Capacity Building for Product Administration - AS to strengthen the administration and expansion of an effective, comprehensive risk management system.",,,,,,"Agriculture is one of the most important sectors in Bangladesh. The sector contributes close to 20.29% of GDP, and employs 43.6% of the labor force in Bangladesh.  The sector is however highly vulnerable to the frequent natural disasters that hits the country each year.  Bangladesh is affected by frequent weather catastrophes like drought, floods, excess rainfall, tidal surges and cyclones, causing serious damage to crops and livestock. Cyclone 'Sidr' in 2007 is estimated to have caused US$400 million loss in crop, livestock, and fisheries. 

This project will be implemented in the context of high interest from relevant stakeholders (including Government in promoting crop insurance), low insurance penetration, lack of experience with index insurance design/administration, and the challenges around access to data for product design and pricing purposes.  

The project aims to assist Green Delta Insurance Ltd., one of the leading private non-life insurance companies in Bangladesh (also an IFC equity investee client of 10%) in the development and deployment of insurance products to address weather-related risks faced both by lenders and farmers.  It will also strengthen the technical and financial capability to administer the insurance products that will eventually help remove the constraints of credit expansion to farmers.",,,,,,,,,,,,,,,600119,,,Financial Institutions Group,,2014-11-19T05:00:00Z,
597,Tourism Liscensing Reform,Advisory Services,,Completed,Middle East and North Africa,Lebanon,,,2015-03-04T05:00:00Z,,,,"The purpose of the project is to support the Government of Lebanon in reducing the burden on investors by reducing the time and procedures related to business entry through regulatory streamlining and simplification, and Information and Communication Technology. The project aims at providing a roadmap for the Government to reform its business registration system in general, and it gives special focus to the tourism sector by streamlining the tourism licensing processes and procedures. Ultimately, the project is expected to facilitate entry into the formal sector and promote entrepreneurship.
Business Registration:
This component entails the development of a reform strategy and implementation plan for reforming the business registration system at the Ministry of Justice's Commercial Registry. The strategy will cover four areas: processes, legal enabling regime, organizational issues, and ICT.  Recommendations will include streamlining of processes required to register a new business to reduce associated time and steps, recommendations for legal/regulatory changes, and development of a sustainable long-term ICT strategy for the Commercial Registry covering transformation to online system, e-linkages with other entities, requirements for upgraded platform, staffing, and capacity building.

- Tourism Licensing:
A- Assessment
- Mapping and analysis of every regulatory process, resulting in detailed process maps and description related to tourism licenses.
B. Reform Recommendation 
- Process improvement/simplification recommendations: developed based on the identified bottlenecks, overlaps and  duplication of functions between MoT and municipalities 
C. Implementation
- Consensus Building: engaging with decision makers to build consensus around the new reform, and to develop implementation plan and consultations with relevant policy makers across the government 
- Awareness Raising: targeting civil servants working on implementation, to be built around new policies and procedures and legal changes.",,,,,,"- The Commercial Registry reform strategy will propose recommendations for facilitating the registration of new businesses in Lebanon. Such recommendations, if adopted and implemented by the Government of Lebanon, should lead to savings in administrative costs borne by the private sectors; encourage entry into the formal sector; and promote entrepreneurship. 

- The Tourism Licensing Reform project aims at streamlining the tourism licensing processes by reducing the number of days and procedures involved in the process in collaboration with the Ministry of Tourism and the Ministry of State for Administrative reform.",,,,,,,,,,,,,,,585847,,,Trade and Competitiveness,,2012-02-07T05:00:00Z,
