Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
China Microfinance Development II,Advisory Services,"",Completed,East Asia and the Pacific,China,"","",2014-07-31T04:00:00Z,"","","","The project will focus on the following components:

(i) At the policy level, IFC partners with the Research Institute of Finance and Banking of the People's Bank of China and jointly promote financial inclusion through the research studies on rural
 
 finance and microfinance, including the recommendation on regulatory framework of microfinance. 

(ii) To support broader microfinance sector development, IFC will work with relevant industry associations, to design training programs to facilitate more
 knowledge 
 transfer of microfinance best practices to the market players. 

(iii) At the institutional level, the project will identify several potential institutions for more in-depth advisory support, which may cover the areas of product design, risk
 control, staff 
 capacity building and responsible finance.","","","","","","The China Rural and Microfinance Development Project aims to further deepen and expand financial inclusion in China by improving access to financial services for micro and small businesses, low income households, particularly in rural areas.  It will build on IFC's previous work to improve the enabling environment, impart knowledge on best practices, and develop promising financial institutions.","","","","","","","","","","","","","","",592067,"","",Access To Finance,"",2014-03-19T04:00:00Z,""
Corporate Governance Regions Program,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2014-08-01T04:00:00Z,"","","","The nature of services provided will vary throughout this project (per demand and selectivity) and include activities at various levels, per below.

Key focus of this project is to support on-going region-wide south-south collaboration platforms such as the IFC Latin American Companies Circle, the OECD CG Roundtable, SOE network, Family Business Network, and network of corporate governance institutes (IGCLA); and undertake selected activities outside of Colombia and Peru aimed at the dissemination of the IFC Knowledge Group's (former Global Corporate Governance Forum) tools and products.

1. Macro Level:

- Knowledge Events. Participate in selected awareness raising events and/or speaking engagements around the region, helping share best practices and case studies.

- Specific Support to the Companies Circle. IFC will provide a defined level of support to the Companies Circle, an initiative that gathers 15+ LAC companies to share lessons and ideas and help promote CG with the wider LAC market. Activities will include providing stewardship to the group, coordinating meetings, providing advice, and helping the network become self-sustaining.

- Conducting and speaking at awareness raising events on the business case for improving CG for various stakeholders
 in the region, helping share best practices and case studies.

- Disseminating best practice publications and tools to encourage greater adoption of good practices. 

- Working with interest groups, on issues such as gender equality, to increase the awareness of relevant topics in CG. 

2. Regulatory Level: Support of the OECD Corporate Governance Roundtables and Task Forces to enable the regulators in the region to learn about the best practices reform in the region and globally and improve their regulatory
 and policy framework. Additional project activities under this component will be the responsibility of WB and will be accounted in a separate WB project. More specifically WB will support the development and/or improvements of CG-related regulations, conduct country/sector diagnostics, provide training to the staff of the regulators, etc.

3. Market Level:

- Workshops for Institutes. Selectively conduct workshops for Institutes to help build their expertise in certain areas. This might include trainers of trainers (ToTs) to launch training products (e.g., Director training program) or consultations on other technical matters. When possible, the IGCLA network (below) will be leveraged for this.

- Workshops for Intermediaries. Selectively conduct workshops
 for market intermediaries to help build their expertise. This might include training for investors, mediators, consultants, the press, and others (on a regional or sub-regional basis where possible).

- Specific Support to IGCLA network. IFC will help
 provide a defined level of support to the IGCLA network, providing management support, guidance, and consultations as needed. This network that gathers 11 Latin American institutes of CG to promote knowledge sharing and can be leveraged for other project activities. One of the aims is to make the network self-sustaining on Exit.

- As capacity building of local intermediaries is a key element of this project, the team will monitor the progress of the partner?s capacity to deliver CG services, following the
 methodology developed in ECA region.
 

4. Firm Level:

- Conducting CG assessments or consultations for selected private companies to help them implement better CG practices with the focus on IFC investment clients and pipeline.

- Providing other
 specialized advisory services to select firms and groups of companies in the forms of workshops, consultations, one on one advice. This may include general CG training for directors and executives or more specific topics such as Banking, Family Governance, SME CG, and other.

- Some of the firm-level work will be conducted in conjunction with local intermediaries in order to build their capacity in delivery these types of firm-level services.","","","","","","The overall goal of the project is to strengthen the corporate governance enabling environment in the region and ultimately help firms, including small-medium enterprises (SMEs), family-owned enterprises (FOEs), financial institutions including microfinance institutions (MFIs), and State-Owned Enterprises (SOEs) improve performance, access to finance, and overall sustainability through better governance practices.","","","","","","","","","","","","","","",600514,"","",Sustainable Business Advisory,"",2014-07-02T04:00:00Z,""
Corporate Governace Peru,Advisory Services,"",Completed,Latin America and the Caribbean,Peru,"","",2014-08-01T04:00:00Z,"","","","Consistent with IFC's long-tested (Corporate Governance) CG programmatic approach, which has been shown to have greater long-term impact on improving practices in a market, the project consists of activities across 4 inter-related components:

1. Macro

 
 Level:

- Conducting and speaking at awareness raising events on the business case for improving CG for various stakeholders in Peru, helping share best practices and case studies. Project partners will be engaged in this effort, such as the CG Institute,
 
 Procapitales, local chambers of commerce, educational institutions.

- Disseminating best practice publications and tools to encourage greater adoption of good practices. 

- Providing support to local networks promoting good CG practices by helping
 to 
 establish a local Companies Circle. 

- Developing and promoting methodologies to analyze and improve corporate governance of various types of firms. 
The project will seek to develop an appropriate regional-specific CG methodology for SMEs (also
 utilizing
 
 the work done under the SECO-funded project in Colombia on SME governance), MFIs and, possibly, cooperatives. 

- Working with interest groups, on issues such as gender equality, to increase the awareness of relevant topics in CG. 

2. Regulatory
 Level:
 
 Project activities under this component will be the responsibility of WB and will be accounted in a separate WB project. More specifically WB will support the development and/or improvements of CG-related regulations, conduct country/sector diagnostics,
 and 
 provide training to the staff of the regulators.

3. Market Level:

- Supporting the operations of the new CG institute and helping develop its capacity to provide CG services to firms. 

- Supporting other market intermediaries such as local
 chambers 
 of commerce, educational institutions to build their capacity and understanding of CG issues to enable them to become change agents in their respective investment programs. 

- Conducting workshops for market intermediaries, training institutions
 and the 
 media to help build their expertise. 

- Roll out and disseminate the IFC?s toolkits on director training organizations, board leadership, media, alternative dispute resolution and others.

- As capacity building of local intermediaries is a
 key element 
 of this project, the team will monitor the progress of the partner?s capacity to deliver CG services, following the methodology developed in ECA region. 

4. Firm Level:

- Conducting CG assessments or consultations for selected private
 companies to help 
 them implement better CG practices with the focus on IFC investment clients and pipeline.

- Provide CG AS services to select SMEs directly or through the local partners based on experiences from the SECO's project implemented by Confecamaras
 in Colombia.

-
 
 Providing other specialized advisory services to select firms and groups of companies in the forms of workshops, consultations, one on one advice. This may include general CG training for directors and executives or more specific topics
 such as Banking, Family 
 Governance, SME CG, and other.

- Some of the firm-level work will be conducted in conjunction with local intermediaries in order to build their capacity in delivery these types of firm-level services.","","","","","","The overall goal of the project is to strengthen the corporate governance enabling environment in Peru and ultimately help firms, including small-medium enterprises (SMEs), family-owned enterprises (FOEs), financial institutions including microfinance institutions (MFIs), and State-Owned Enterprises (SOEs) improve performance, access to finance, and overall sustainability through better governance practices.","","","","","","","","","","","","","","",600516,"","",Sustainable Business Advisory,"",2014-07-02T04:00:00Z,""
Natural Capital,Advisory Services,"",Completed,World,World Region,"","",2014-08-01T04:00:00Z,"","","","This project will have two components:

A. Natural Capital Accounting and Reporting Framework and Industry Guidelines 

This project will support the multi-stakeholder participatory process needed to develop an overall framework and guiding principles
 
 agreed by all key organizations involved. The process will take up to two years, it will involve consultation and outreach with key organizations and academic institutions, involvement of pilot industries, and technical discussions to agree on methods and
 
 approaches for the valuation different natural capital components. The overall framework will be complemented and expanded by industry-specific guides. 

B. Industry Implementation Projects

The implementation projects will test the industry guidance
 and 
 overall framework developed. These will also allow for IFC and the WB to compare national level natural capital accounts with company level information and reports; the WAVES global team and WAVES pilot countries will be involved in the analysis.

For
 the 
 companies, the projects will offer guidance related to options and approaches based upon particular motivations and business strategies. The companies involved will incorporate natural capital in their sustainability and corporate reports. The project
 will 
 aim to engage brands and corporates that can serve as lighthouses for their industry.","","","","","","The Natural Capital Program of SBA will prove and disseminate the value for companies to consider natural capital in their business decisions, develop tools and methods for it, and equip IFC to offer advice to companies on natural capital management and valuation.  This project will support companies to understand and measure their management of natural capital.","","","","","","","","","","","","","","",599896,"","",Sustainable Business Advisory,"",2013-11-18T05:00:00Z,""
CaribTax,Advisory Services,"",Completed,Latin America and the Caribbean,Caribbean Region,"","",2014-08-12T04:00:00Z,"","","","Project Description 
The project will have two main components: 1) Simplification of Tax Administration, which includes support to taxpayer education and communication strategies, and Tax dispute and appeals mechanisms, (which will be piloted in 2 OECS
 
 countries) and 2) Tax Incentives Framework Reform, which will be piloted in piloted in 1 OECS country). 
 
 
This project is part of a broader program in Latin America and the Caribbean. The two components of the project will consist of the following:
 
 
 
 
 
Component 1: Pilot on Business Taxation Simplification (2 OECS countries): 
 
 
 
Tax administrative simplification activities aimed at making tax compliance less cumbersome and improve the relationship with taxpayers. This component will
 
have 
 three subcomponents: 
 
 
- Tax Compliance Simplification by improving procedures and tax requirements. 
 
 
 
- Education and Communication to taxpayers to reduce transaction costs of compliance through more transparency and predictability.
 
 
 
 
 
- Tax dispute and appeals mechanisms to provide a viable channel for settlement of revenue collection disagreements. 
 
 
 
Component 2: Pilot on Improving Tax Incentives for Investment (1 OECS country): 
 
 
Improving the Tax Incentives
 Framework 
 to promote more effective tax incentives to achieve and track policy objectives. The project will help prepare a Cost-Benefit Analysis of the main tax incentives, help review the incentives framework and define policy guidelines; and, organize
 regional conferences 
 to encourage an evidence-based approach 
towards tax incentives, focusing on effectiveness, promote the endorsement of regional policy guidelines and provide input to the design of a regional project on tax incentives reform.","","","","","","The Caribbean Business Taxation Reform Project (CaribTax) focuses on improving the institutional, regulatory and administrative framework for business taxation in the Organization of Eastern Caribbean States. The objectives are to reduce complexity for businesses when complying with tax obligations, and improve the management of the tax incentives framework. The project will pilot two components: 1) a tax simplification reform in two countries , and 2) a reform of the tax incentives framework in one country. The project aims to encourage countries to advance regional harmonization among tax authorities to help businesses operating across the Eastern Caribbean economic space. 

 

The project aims to: 

 

- Reduce the time for businesses to comply with tax processes and regulations in 2 OECS countries 

 

- Establish a streamlined process to deal with tax disputes in 2 OECS countries

 

- Include tax expenditure report in Government Annual Budget in least one OECS country

 

- A Tax Incentive Guidelines endorsed by Government to improve the monitoring of the incentive framework

 

The impact on the private sector will be measured in direct compliance cost savings due to simplification in paying taxes","","","","","","","","","","","","","","",600212,"","",Global Practice - Trade & Competitiveness,"",2014-06-09T04:00:00Z,""
SME Banking SL,Advisory Services,"",Completed,South Asia,Sri Lanka,"","",2014-08-13T04:00:00Z,"","","","The objective of the project is to work with National Development Bank PLC and Seylan Bank PLC to increase reach to the SME segment through: 1. Review of the existing SME business and recommendations to improve same, 2. Expansion of the business to the
 
 North and East of the country and 3. Capacity building and skills development of staff and SMEs.","","","","","",The objective of the project is to assist National Development Bank PLC and Seylan Bank PLC to sustainably expand their reach to the SME segment.,"","","","","","","","","","","","","","",596707,"","",Industry Department - Financial Institutions Group,"",2014-06-04T04:00:00Z,""
Timor Trade,Advisory Services,"",Completed,East Asia and the Pacific,Timor-Leste,"","",2014-08-13T04:00:00Z,"","","","The project will include the following activities: 
 
a) Reform of the Custom Code, General Quarantine Regulations and Related Regulations 
b) Support with Process Reengineering for Customs and Quarantine 
c) Stakeholder Outreach and Development","","","","","","The project is expected to reduce the time and cost to trade in Timor-Leste by reforming relevant trade regulations, supporting implementation of reformed processes, and providing private sector stakeholders with institutional support that encourages improved participation on policy reform and compliance with regulations.","","","","","","","","","","","","","","",600075,"","",Global Practice - Trade & Competitiveness,"",2014-06-12T04:00:00Z,""
Warehouse Receipt Financing,Advisory Services,"",Completed,Africa,Country Name Pending,"","",2014-08-18T04:00:00Z,"","","","The project is expected to support the introduction of a robust warehouse receipts system- (WRS) in the country in two phases. 

Phase 1: 
1. Introduction of a legal framework - Support the development of a WRS law and implementing regulations to promote
 
 warehouse receipt financing. This framework will clearly outline forms of warehouse receipts, legal status of warehouse receipts, rights and obligations of warehouse operators and banks and structure of warehouse receipts regulatory body. 
Develop operational
 
 guidelines for a model of supervised private warehouse operations. These guidelines will focus on warehouse quality, warehouse operations including inspections, grading and commodities standards.

Phase 2: (implementation of phase 2 will commence only
 if 
 funding secured)
2. Provision of technical expertise and assistance to WHR regulatory unit during startup phase
3. Sensitization and training of stakeholders
4. Assistance to the warehousing industry
5. Creation of a warehouse receipts platform","","","","","",Development of an enhanced legal and regulatory framework for warehouse receipt financing in  the country leading to scaling up of structured trading and improved access to finance opportunities for smallholder farmers.,"","","","","","","","","","","","","","",600331,"","",Global Practice - Trade & Competitiveness,"",2014-05-21T04:00:00Z,""
Industry,Advisory Services,"",Completed,Africa,Country Name Pending,"","",2014-08-18T04:00:00Z,"","","","The project will support the Government with strenghtening overall competitiveness and growth in the agribusiness sector with a particular emphasis on promoting increased mechanization. It will also support the overall development of the tourism sector,


 
 focusing on unlocking the potential of private sector participation in the Protected Areas to drive job creation, conservation efforts and overall sector growth.","","","","","","The program will create opportunities for farmers to increase productivity and yields through expansion of mechanization through enhanced leasing opportunities in the agriculture sector.  It will also generate investment and jobs in and around the Protected Areas, generate park management revenue for the Country's Wildlife Authority to conserve wildlife and biodiversity, and ensure economic benefits for local communities in and around the park.","","","","","","","","","","","","","","",599444,"","",Global Practice - Trade & Competitiveness,"",2014-05-21T04:00:00Z,""
Sewerage O&M,Advisory Services,"",Active,Region Name Pending,Country Name Pending,"","",2014-08-18T04:00:00Z,"","","","IFC will assist in introducing private sector participation for a public-private partnership project. The proposed transaction will involve the development and/ or management and operation of an asset or services by a private operator under specific conditions



 
 and obligations, which are to be determined.","","","","","","Introducing private sector participation to operate, and maintain (and potentially rehabilitate) sewerage infrastructure assets currently managed by the Tunisian National Sanitation Authority (Office National de lAssainissement or ONAS) will increase access of end-users to improves services. This pioneering PPP project in the sector also holds great potential for replication for other countries facing similar challenges.","","","","","","","","","","","","","","",600172,"","",Public-Private Partnerships Transaction Advisory,"",2014-06-11T04:00:00Z,""
Belarus National Quality Infrastructure,Advisory Services,"",Completed,Europe and Central Asia,Belarus,"","",2014-08-19T04:00:00Z,"","","","The project will provide support to the government in developing the private sector in Belarus as the critical driver of sustainable economic growth and employment. The project objective is to improve the legal and regulatory environment as well as implementation
 
 of the regulations, to enable growth of the MSME sector and its contribution to GDP. The project also aims to increase private sector competitiveness and export potential. This can be achieved by reducing administrative inefficiencies, optimizing procedures,
 
 and harmonizing requirements with internationally accepted practice.","","","","","","The project will assist the Government to accelerate growth of the private small and medium size enterprises and their contribution to the Belarus economy.  This will be achieved through reducing administrative burden and streamlining regulatory procedures.  It will also increase competitiveness of Belarus businesses and enhance their export potentail by streamlining mandatory procedures for quality assessment and increasing voluntary certifications, and by improving procedures required to trade across borders.  The focus of the project will be food production and logistics and trucking services.  Overall, the project will support growth and sustainable development of the economy of the Republic of Belarus.","","","","","","","","","","","","","","",599846,"","",Global Practice - Trade & Competitiveness,"",2014-06-27T04:00:00Z,""
Cocoa Life farm data,Advisory Services,"",Completed,East Asia and the Pacific,Indonesia,"","",2014-08-25T04:00:00Z,"","","","This project will execute the following activities: 
1 - Customize data collection tools for cashflow profiling of cocoa farmers and value chain players; 
2 - Introduce cocoa gender mapping in the farmer needs assessment;
3 - Transfer the required skills


 
 and knowledge to local teams for future execution in additional districts.","","","","","","The overall goal of this project is to assist potential investment client Mondelez in developing an effective Cocoa Life program in Indonesia, benefiting cocoa farming communities.","","","","","","","","","","","","","","",600484,"","",Sustainable Business Advisory,"",2014-06-26T04:00:00Z,""
Health in Africa,Advisory Services,"",Completed,Africa,Country Name Pending,"","",2014-08-26T04:00:00Z,"","","","The project is comprised of the following 4 components: 

1: Health Sector Regulation Reform which consists of providing technical assistance to the Ministry of Health, in conjunction with private sector stakeholders, to develop a streamlined registration process and the creation of a centralized database of health providers; to reform secondary legislation and develop policies and procedures required for an efficient and effective health sector licensing mechanism; to facilitate a participatory process for the development of guidelines to be followed by health facilities and supervised by health inspections; and to strengthen health inspection planning and implementation.
Component 

2: Policy and Dialogue for the development of a Private health sector policy aligned with the national health sector plans and capacity building of the Private Health the Alliance 
Component 

3: Extend performance based contracting and matching grants to private health facilities to develop guidelines for extending performance based contracts and matching grants to private health facilities
Component 

4: Knowledge sharing with the Economic Community of Central African States (ECCAS) to distill relevant lessons and build the capacity of the ECCAS secretariat to support
 member countries translating lessons into improvements to the operating environment for the private health sector.","","","","","","The objective of the project is to unlock the potential contribution of the private sector to the improvement of health outcomes as measured by the following outcomes to be achieved by the end of the Project:

1.  Reduce the time it takes to license a health facility  and increase the proportion of facilities operating with a permanent license.
2.   Develop patient safety and quality of care guidelines for health facilities and supervise them through effective health inspections leading to an increase in the proportion of facilities complying with minimum requirements. 
3.   Private health facilities benefiting from Performance Based Contracts and/or matching grants for enterprise development.","","","","","","","","","","","","","","",597587,"","",Pending,"",2014-06-04T04:00:00Z,""
Taxation Framework,Advisory Services,"",Completed,Latin America and the Caribbean,Country Name Pending,"","",2014-08-26T04:00:00Z,"","","","IFC is working closely with the client government to improve the overall business taxation framework and help increase tax compliance among businesses by reducing complexity and promoting transparency. The project is supporting the government to conduct

 
 in depth diagnostics of taxpayer compliance costs, developing an agenda for tax simplification (including rationalization of special tax regimes for small businesses), and will help clients implement relevant tax reforms.
The World Bank Group will focus
 on
 
 supporting clients in two key areas:

1) Business tax processes simplification: Streamline procedures to comply with business taxation to reduce administrative burdens for business taxpayers.

2) SME Tax Regime: Strengthen the tax regime adapted
 to small
 
 and medium business taxpayers, to encourage compliance and formalization.

This project is part of a broader program in Latin America and the Caribbean in partnership with the Governments of Canada and Switzerland.","","","","","","The project aims at reducing tax compliance costs for all firms by enhancing tax simplification, thereby improving the investment climate in the country. More specifically, increased compliance through business-growth stimulating tax regimes and process simplification (and subsequent lower compliance costs) will contribute to increased competitiveness and the size of the formal sector, promoting growth and job creation.","","","","","","","","","","","","","","",599794,"","",Global Practice - Trade & Competitiveness,"","",""
Trade Logistics,Advisory Services,"",Active,Region Name Pending,Country Name Pending,"","",2014-08-29T04:00:00Z,"","","","The objective of the project is to reduce time and cost to trade and increase regional cooperation, provide savings to the private sector and to improve the cross border movement of goods.","","","","","","Increase in savings for the private sector to import, export and transit commercial goods within the West African region and with the international trading community through the use of trade facilitation measures.","","","","","","","","","","","","","","",595467,"","",Pending,"",2014-05-12T04:00:00Z,""
EAP Tax Transparency,Advisory Services,"",Completed,East Asia and the Pacific,East Asia and Pacific Region,"","",2014-08-29T04:00:00Z,"","","","The EAP Tax Transparency Program will assist countries in the East Asia Pacific region to improve or put in place taxation regulation and administration to respond to problems of abusive transfer pricing and related issues while increasing certainty and
 
 avoiding an excessive compliance burden for taxpayers. The program will engage with regional bodies to promote harmonisation of transfer pricing regulation across the region and promote sharing of resources and expertise among tax authorities in relation
 to 
 transfer pricing and associated issues.","","","","","","The program is expected to result in the implementation of new laws, supporting regulations and administrative procedures relating to transfer pricing and associated issues, developed in accordance with best practice. This is expected to lead to increases in taxation revenue as the result of transfer pricing audits undertaken by tax authorities in the countries in which the program is implemented.","","","","","","","","","","","","","","",599354,"","",Global Practice - Trade & Competitiveness,"",2014-07-25T04:00:00Z,""
Ghana CRP - 2,Advisory Services,"",Completed,Africa,Ghana,"","",2014-09-05T04:00:00Z,"","","","The goal of this project is to support the Bank of Ghana and its stakeholders to strengthen and expand the credit information sharing regime by promoting the adoption of the General Principles on Credit Reporting, through reviews to the existing legislation
 
 for Credit Reporting in Ghana, the facilitation of activities to promote SME Reporting and data quality and by providing technical support for the intergration of Microfinance Institutions and other credit providers into the credit reporting regime. The
 project 
 will also increase the overall understanding of the benefits of credit reporting by lenders and the public at large by way of a public education and awareness campaign with the view to increasing access to finance for MFIs, Micro, Small and Medium
 Enterprises 
 (MSMEs) and consumers.

Improved quality of credit data will help lenders to make better informed lending decisions and improve their risk management practices whilst at the same time promoting responsible lending and preventing over indebtedness.
 Facilitating 
 access to public third party databases and other non bank lenders data such as insurance and telecommunications will ensure that borrowers, but particularly MSMEs can use their reputational collateral based on credit history to access credit.
 This project 
 will support the staff of the BoG to improve their supervisory skills. The aim is to expand credit information sharing and improve the impact it has on access to finance and overall economic growth in Ghana.","","","","","","The overall objective of this project is to expand credit reporting in Ghana,  improve the quality of shared data and expand access to finance for individuals and Small and Medium Enterprises.  The project will work closely with the Bank of Ghana, licensed credit bureaus,  lenders,  and some other stakeholders through a  Working Group/Credit Providers Association.","","","","","","","","","","","","","","",600380,"","",Global Practice - Finance & Markets,"",2014-05-29T04:00:00Z,""
Agriculture Competiveness,Advisory Services,"",Active,Europe and Central Asia,Southern Europe Region,"","",2014-09-05T04:00:00Z,"","","","The Project will enable Program (P599992) aim to work with governments to address key binding constraints to achieve impact in the selected sectors. Other parts of the Program (A2F and SBA) will work with private sector (banks and companies). This bottom-up
 
 (firm level work) and top-to-bottom (policy level work with governments) value chain approach will enable us to deliver impact and transform target sectors. 

This is regional project, and will be implemented as such. The Project will consist of three interconnected components addressing:
 1) Trade facilitation, 
2) Business regulations and quality infrastructure, and 
3) Investment policy and facilitation. 

The Project will focus its work on Serbia, BiH and Kosovo, with engagement in Albania and FYR Macedonia narrowed to access to markets, trade corridor facilitation (enabling faster goods transiting to Serbia, Kosovo) and aggregation in selected parts of fruits and vegetable value chain. While each country will have a specific list of activities to be implemented, as agreed with governments and inserted into Administration Agreement with each government, Project activities will be regional in nature. We will not be doing sporadic country activities, but rather implemented regional activities on a country level to address key regional issues. Administration agreement will cover all activities for particular country under all components. In this way we propose integrated client solution for each country addressing key issues by combining relevant activities from each of the components.","","","","","","This Project is part of the umbrella Program (P599992) for Agribusiness Competitiveness in Western Balkans. The goal of the overall umbrella program is to increase investment facilitated in the region by $85 million and increase small and medium enterprise (SME) competitiveness by reducing costs of business operations/cross border costs by $30million one year following the project completion. 

The main objective of this Project is to support Reform priorities of Government of Albania as per signed Advisory Agreement in increasing competitiveness of Albania by addressing regulatory bottlenecks economy wide (including in targeted agribusiness value chain), facilitating investments in the country, and facilitating market access overall.  
Within this objective, the Project will focus on improving business environment in Albania through three components: 
(a) Improving business regulations and quality infrastructure to reduce regulatory costs by $4 million by mid-2019; 
(b) Strengthening investment policy and promotion to facilitate investments by $10million by project close date;
(c) Facilitating access to market (intra-regional and inter-regional) by reducing cross-border costs by $1million in the movement of goods across borders, both within the region and to the EU.","","","","","","","","","","","","","","",600476,"","",Global Practice - Trade & Competitiveness,"",2014-07-07T04:00:00Z,""
Armenia IC2,Advisory Services,"",Completed,Europe and Central Asia,Armenia,"","",2014-09-16T04:00:00Z,"","","","The Project will provide continuing advisory support to the Government of Armenia, aiming to enable investment, business growth and job creation, through improved investment policy, and reduced regulatory uncertainty and regulatory improvements targeting
 business inspections.","","","","","","The project builds on earlier achievements to improve IC in Armenia, but with emphasis on promoting investment (foreign and domestic) through investment policy, reduction of regulatory uncertainty and with a sector focus on agribusiness, in line with export and job creation potential. Implementation and sustainability are the focus throughout.","","","","","","","","","","","","","","",600244,"","",Global Practice - Trade & Competitiveness,"",2014-08-12T04:00:00Z,""
Lighting Pak,Advisory Services,"",Completed,Middle East and North Africa,Pakistan,"","",2014-09-16T04:00:00Z,"","","","The focus is on sustainable market development achieved by addressing fundamental barriers to market development (market-level interventions with a strong public good component) and complementing this by directly supporting market leaders (firm-level support)
 to establish and scale marketing and distribution infrastructure to serve the market. 

Firm-Level Services

These services will be provided directly to clients and fees will be charged accordingly. The range of services will include:

1. Quality assurance.
 
2. Market intelligence. 
3. Workshops on specific issues / topics. 

Market-Level Activities

These activities are public good measures that apply to the whole market. 

1. Public awareness campaign.
2. Regulatory dialogue. 
3. Potential IFC investment
 engagement to address finance bottlenecks.
4. Lobbying / awareness raising. 
5. Communications.","","","","","","Lighting Pakistan/Afghanistan supports the following development impacts:
-- access to modern lighting services;
-- health benefits related to reduced indoor air pollution exposure from open flame kerosene wick lamps, as well as reduced injuries and deaths from fire associated with open wick kerosene lantern use;
-- increased productivity for school children and from working adults able to be productive at night;
-- economic savings from reduced kerosene purchases and cell phone charging services resulting in the ability to step further up the energy ladder by acquiring more advanced solar kits with extended energy services (fans, multiple lights, multiple phone charging, radio, TV)","","","","","","","","","","","","","","",600412,"","",Sustainable Business Advisory,"",2014-05-23T04:00:00Z,""
EAP Forestry E&S,Advisory Services,"",Completed,East Asia and the Pacific,Indonesia,"","",2014-09-17T04:00:00Z,"","","","IFC will support forestry clients to strengthen environmental and social (E&S) management practices to address increasingly complex E&S challenges at several of its operations in Indonesia and other locations in Southeast Asia. The project will provide
 
 advice and recommendations to forestry and wood product operations on the following:

i) Stakeholder engagement strategy
ii) E&S management system structure and procedures
iii) Enhanced wood supply management and certification","","","","","","IFC will support forestry clients to strengthen environmental and social (E&S) management practices in their forestry and wood product operations in Southeast Asia consistent with IFCs Performance Standards, and to address increasingly complex E&S challenges.","","","","","","","","","","","","","","",600431,"","",Sustainable Business Advisory,"",2014-07-10T04:00:00Z,""
Forest RAMSA,Advisory Services,"",Completed,Latin America and the Caribbean,Peru,"","",2014-09-24T04:00:00Z,"","","","The Project will combine experienced IFC staff and consultants into one team to analyze experiences of IFC clients, partner companies, and other wood-based energy projects to provide relevant, reliable and structured information needed by RAMSA, a reforestation
 
 company, in the design of a feasible approach for expanding its operation in Loreto, Peru's largest department, to grow wood for solid products, and fiber to fuel biomass-based energy generation.","","","","","","As part of joint effort to develop a pre-feasibility study for a forest plantations and biomass energy project in Iquitos, the Peru Forest RAMSA project in and of itself, will not generate any development impact. It will however, provide results that will allow the client, RAMSA to possibly successfully expand its reforestation efforts in the Peruvian Amazon as part of a 30 MW energy project with KALLPA that would dramatically reduce Iquitos' reliance on fossil fuels for its energy needs. The CO2 footprint for Iquitos is relatively high since diesel is currently shipped by road from Lima over the Andes to Pucallpa, and subsequently down the Ucayalli river to Iquitos where it is burned in generators to produce electricity.  The substitution of foreign oil transported over long distances with wood fiber grown locally on degraded lands would logically result in a  reduction in GHG emissions.

Application of the recommendations provided by IFC as part of the study, would ultimately increase the likelihood of a successful, environmentally sound, forest based energy project that would affect many communities and several private companies in Loreto, Peru's largest department: first, by establishing the business case for reforesting degraded lands, second, by reducing emissions leading to climate change, and third, by protecting standing forests with carbon stocks from conversion to non-forest uses. 

IFC's analytical work will be useful to 2 companies with a high potential for wide-scale impact. At present, it is unclear exactly how many hectares would be planted nor how much area would be subjected to Reduced Impact Logging to yield a (currently unknown) volume of legally sourced logs.  Such numbers will be determined as part of the pre-feasibility study.","","","","","","","","","","","","","","",600503,"","",Sustainable Business Advisory,"",2014-07-02T04:00:00Z,""
Pacific IC RR,Advisory Services,"",Completed,East Asia and the Pacific,Solomon Islands,"","",2014-09-29T04:00:00Z,"","","","The project is designed to address requests from Pacific island governments in need of targeted quick solutions to identified investment climate constraints.

The requests will be assessed in line with IFC strategic priorities in the Pacific, as defined
 
 in the relevant World Bank Group country strategies and the relevant expertise and products in the Trade and Competitiveness Global Practice.","","","","","","The effectiveness of the rapid response will primarily be demonstrated by measurable impacts including savings to the private sector. In order to achieve these impacts, a number of laws and procedural changes in the area of investment climate reform will be implemented.","","","","","","","","","","","","","","",597507,"","",Global Practice - Trade & Competitiveness,"",2014-05-22T04:00:00Z,""
