Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Franco da Rocha Street Lighting Child Project,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2020-07-13T04:00:00Z,"","","","The project is expected to (i) reduce Franco da Rocha municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Franco da Rocha municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604260,"","",Transaction Advisory,"",2019-08-12T04:00:00Z,2019-07-01T04:00:00Z
Sapucaia do Sul Street Lighting Child Project,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2020-07-13T04:00:00Z,"","","","The project is expected to (i) reduce Sapucaia do Sul municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Sapucaia do Sul municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604261,"","",Transaction Advisory,"",2019-08-13T04:00:00Z,2019-07-01T04:00:00Z
Feira de Santana Street Lighting Child Project,Advisory Services,"",Active,Latin America and the Caribbean,Brazil,"","",2020-07-13T04:00:00Z,"","","","The project is expected to (i) reduce Feira de Santana municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Feira de Santana municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604258,"","",Transaction Advisory,"",2019-08-12T04:00:00Z,2019-07-01T04:00:00Z
Building a Sustainable Agriculture Sector in Vietnam by Applying Ag Tech Innovations,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2020-07-07T04:00:00Z,"","","","The objective of this project is to provide access to Ag Tech innovations to smallholder farmers in up to three agriculture subsectors in Vietnam (rice, coffee, black pepper, fruits, or cocoa) to improve their overall agri production practices and sustainability standards. By the end of the project, a commercially viable model for delivery of Ag Tech service package to smallholder farmers will have been created, and smallholder farmers will be using these service packages.
The project will focus on: 
-	Establishing Ag Tech pilots in selected strategic value chains in Vietnamese agribusiness drawn from selected crops.
-	Increasing efficiency and transparency in selected agribusiness supply chains
-	Enabling smallholder farmers and other supply chain actors to use Ag Tech solutions
-	Increasing productivity and income of participating SHFs
-	Sharing lessons and experiences about the potential of Ag Tech applications.
","","","","","","The project will support Ag Tech applications in the following use cases: (a) Improved traceability and better management of smallholder farming businesses - digitizing supply chains; (b) more informed farm-level decision making and risk management - precision agriculture. 
The provision of access to Ag Tech innovations is expected to increase efficiencies and transparency in selected crops in Vietnam. By the end of the project, Ag Tech applications will be in operation in the selected supply/distribution chains and will be engaging smallholder farmers. 
","","","","","","","","","","","","","","",604350,"","","Manufacturing, Agribusiness & Services","",2019-09-10T04:00:00Z,2019-09-01T04:00:00Z
Sustainable Pepper Vietnam,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2020-07-07T04:00:00Z,"","","","The goal of this project is to support McCormick in building a 100 percent sustainable, traceable, certified, and quality-compliant pepper supply chain in Vietnam. Through the project, IFC-led activities will assist the McCormick's partner companies in Vietnam in establishing systems, testing and documenting improved production practices, applying integrated pest management (IPM) and tracing these changed patterns to support the certification of pepper farmers as a way for McCormick to reach its goal of building a 100 percent sustainable pepper-supply chain in Vietnam.

The partnership with suppliers in Vietnam will benefit smallholder farmers, including women farmers by the end of project implementation through various interventions and key activities described below: (1) Strengthening the capacity of the lead firm's suppliers; (2) Building the capacity of farmers through training; and (3) Development and Implementation of Supplier Sustainability Matrix (SSM).
","","","","","","The project seeks to achieve the impacts by the end of project implementation period on:
	Hectares of sustainably managed land
	Average share of produce upgraded by at least 1 grade
	Number of firms certified","","","","","","","","","","","","","","",603284,"","","Manufacturing, Agribusiness & Services","",2019-08-13T04:00:00Z,2019-07-01T04:00:00Z
Ghazanfar Bank Women Markets Advisory,Advisory Services,"",Active,Middle East,Afghanistan,"","",2020-07-07T04:00:00Z,"","","","IFC is partnering with Ghazanfar Bank (GB) to create a targeted offering for women in Afghanistan. Access to finance in Afghanistan is amongst the lowest in the world and the gap is even more pronounced for women. As per Findex 2017, 14.9% of adults and 7.2% of women in the country have an account at a formal financial institution. IFC will help GB develop a niche proposition in gender finance, as well as strengthen its competitiveness by growing its market and portfolio of financial and non-financial products for women. IFC will leverage its regional experiences in Banking on Women' and support GB through the following: 
	Market research
	CVP development
	Product concepts
	Pilot implementation

","","","","","","Through this project, IFC will support Ghazanfar Bank in creating a sustainable value proposition for gender finance in Afghanistan to accomplish the following goals:

1. Increase access to finance for women entrepreneurs  
2. Improve financial inclusion by targeting deposit accounts for women customers 
3. Outreach to women customers through multiple marketing channels
","","","","","","","","","","","","","","",603953,"","",Financial Institutions Group,"",2020-06-09T04:00:00Z,2020-06-01T04:00:00Z
Campinas Street Lighting Child Project,Advisory Services,"",Active,Latin America and the Caribbean,Brazil,"","",2020-07-02T04:00:00Z,"","","","The project is expected to (i) reduce Campinas municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.

","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Campinas municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604257,"","",Transaction Advisory,"",2019-08-12T04:00:00Z,2019-07-01T04:00:00Z
Camacari Street Lighting Child Project,Advisory Services,"",Active,Latin America and the Caribbean,Brazil,"","",2020-07-02T04:00:00Z,"","","","The project is expected to (i) reduce Camacari municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Camacari municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604259,"","",Transaction Advisory,"",2019-08-12T04:00:00Z,2019-07-01T04:00:00Z
KKCF,Advisory Services,"",Active,Africa,Kenya,"","",2020-07-01T04:00:00Z,"","","","The Kakuma Kalobeyei Challenge Fund (KKCF) strengthens and deepens local markets in refugee hosting areas of Northern Kenya. KKCF consists of three components: 1) A rolling competitive business challenge , 2) An investment climate and policy enabling advisory, and 3) 
Support for Corporates. Geographic target area includes Kakuma refugee camp, Kakuma town, Kalobeyei refugee settlement and Kalobeyei town in Turkana County. The target group includes medium sized private companies, social enterprises and local entrepreneurs from the host and refugee communities, and the Turkana County Government for the investment climate advisory services. 

The project will have a special focus on gender. 

Private firms supported by the KKCF will be required to identify environmental and social risks and impacts as well as to design their activities in a sustainable manner in accordance with the IFC Performance Standards on Environmental and Social Sustainability (2012).  The level of detail and complexity of the environmental and social management program required will be commensurate with the anticipated impacts and risks of each specific engagement while taking into account the outcome of the engagement process with affected communities as appropriate.","","","","","","The success of the project will be measured by the number of firms with commercially viable business models that are attracted to or retained in the area, number of people who received access to improved services, number of jobs supported, value of investment generated, and improvement in regulatory framework.","","","","","","","","","","","","","","",603725,"","","Manufacturing, Agribusiness & Services","",2019-10-31T04:00:00Z,2019-11-01T04:00:00Z
Los Cabos Water,Advisory Services,"",Completed,Latin America and the Caribbean,Mexico,"","",2020-06-30T04:00:00Z,"","","","The municipality of Los Cabos has requested IFC's services as lead advisor to structure and subsequently support the tender of two water projects under a PPP scheme to improve the water services for the 278,000 inhabitants of Los Cabos. The two projects are; ""Non-revenue water project"" and the "" New Desalination Plant"".

The objective of the New Desalination Plant project is to design, finance, construct, operate and maintain the plant to increase the supply of drinking water to the municipality.
The objective of the Non-revenue water project,  is to to design, finance, construct, operate and maintain the required assets to (i) reduce the non-revenue water and (ii) improve the collection rate.  
","","","","","","The New Desalination Plant project is expected to have a production of 7,88 million cubic meters of drinkable water per year. 
The Non- revenue water project is expected to:  
1) reduce the water loss in the system from 39% in Cabo San Lucas to 25%, and 
2) improve the collection rate  through an increase of the metering coverage.
Both projects will benefit 278,000 inhabitants in the city of Los Cabos.","","","","","","","","","","","","","","",604179,"","",Transaction Advisory,"",2019-07-26T04:00:00Z,2019-07-12T04:00:00Z
IFC Treasury Education Initiative,Advisory Services,"",Active,Global,World Region,"","",2020-06-29T04:00:00Z,"","","","The program focuses on building capacity by training rising stars from the regulatory bodies (MoFs, Central Banks, and CM Authorities) and the Stock Exchanges of developing institutions through an intense 9-month training split between academic training at the university and internship in a financial institution. The program is offered both in English and in French with offerings in the US and France. 
The program, at both the US and France offerings, consists of two contiguous parts.
-	4 and half months - classroom sessions taught by experienced University Professors at the George Washington University or Paris Dauphine campuses to learn about the fundamentals of capital markets. In addition to academic lectures, experienced practitioners from reputable financial institutions are invited to share their markets experience through the program's lecture series.
-	4 months - internship component at financial institutions in the US or Europe to gain hands-on experience working with private sector institutions to understand the importance of financial infrastructure to support the development of nascent capital markets. These include Standard Chartered Bank, Millennium Management, UBS Financial Services; as well as in international organizations such as IFC and IBRD.
In addition, participants of the program can continue to share their knowledge and experience thanks to a Community of Practice and through the bi-annual Alumni Events organized in a developing country.","","","","","","The objective of this initiative is to build a network of qualified capital market practitioners within key regulatory and policy making institutions to help steer the creation and growth of robust capital markets across frontier economies. Specifically:
1)	Develop qualified human capacity within central banks, ministries of finance and regulatory agencies in developing economies
2)	Build a deep network of practitioners, regulators, and policy makers to be key points of contact and thereby support IFC's efforts to promote capital-market development in our target countries. 
3)	Equip participants to understand various technical, regulatory, and institutional aspects impacting the operation of capital markets, such that they will be in a better position to contribute to the development of capital markets in their respective countries.
","","","","","","","","","","","","","","",602563,"","",Other,"",2019-07-03T04:00:00Z,2016-08-01T04:00:00Z
NSIA BANQUE COTE D'IVOIRE SME,Advisory Services,"",Active,Africa,Cote D'Ivoire,"","",2020-06-18T04:00:00Z,"","","","The project will assist CIV in improving its capacity to serve its SME clients, especially in light of the ongoing COVID-19, focusing on areas such as the bank's business model, sales and delivery channels, frontline capacity building and credit management and products. The development and implementation of appropriate banking solutions and development of a local expertise for the staff will help sustain access to finance for SME in the region.","","","","","",The objective of this project is to help NSIA Banque CIV preserve it SME portfolio during the COVID-19 pandemic by strengthening its strategy and credit capabilities. Maintaining the SMEs portfolio afloat during the COVID-19 pandemic will drive economic resilience and limit job destruction in the region.,"","","","","","","","","","","","","","",605045,"","",Financial Institutions Group,"",2020-06-23T04:00:00Z,2020-08-25T04:00:00Z
Soufflet Ethiopia Advisory Services,Advisory Services,"",Active,Africa,Ethiopia,"","",2020-06-17T04:00:00Z,"","","",The objective of the three-year project is to substantially increase Soufflet's local sourcing of commercially available malt barley from smallholder and emergent commercial farmers in Ethiopia.  The project would facilitate the expansion of Soufflet's local sourcing to meet the needs of a new malting facility.  The project has three components: (a) improving the malt barley production capacity of farmers by increasing access to improved seed varieties and other agricultural inputs; (b) building the business management capacity of barley aggregators and improving the clustering of farmers; and (c) establishing contract farming and farmer financing models.,"","","","","","The project will improve the malt barley production capacity of an estimated 55,000 smallholder farmers by increasing their access to improved seed varieties and other agricultural inputs as well as improving their business management capacity.  The participating smallholder farmers, located in Arsi, W. Arsi, Bale, North Shewa and West Shewa zones, are expected to benefit from improved crop yields, access to a guaranteed malt barley market, and the introduction of more sustainable farming practices","","","","","","","","","","","","","","",604175,"","","Manufacturing, Agribusiness & Services","",2020-01-28T05:00:00Z,2020-02-01T05:00:00Z
Barbados Grantley Adams International Airport,Advisory Services,"",Active,Latin America and the Caribbean,Barbados,"","",2020-06-17T04:00:00Z,"","","","The Government of Barbados through the Grantley Adams International Airport Inc., a statutory corporate entity established pursuant to an Act of Parliament, has engaged IFC as the lead advisor to structure and implement a private participation scheme for the redevelopment of the Grantley Adams International Airport with the purpose of increasing capacity and improving operation efficiency.","","","","","","The project is expected to:
1) Generate private investment to Grantley Adams International Airport  
2) Expand infrastructure capacity
3) Increase operational efficiencies within the airport
4) Improve access and quality of services for passengers","","","","","","","","","","","","","","",603654,"","",Transaction Advisory,"",2019-03-11T04:00:00Z,2019-04-15T04:00:00Z
India RE PPP,Advisory Services,"",Active,South Asia,India,"","",2020-06-12T04:00:00Z,"","","","IFC will provide advisory support to the Solar Energy Corporation of India Limited in identifying and structuring of renewable energy PPP projects across several States in India, as mutually agreed between IFC and SECI. IFC will also help SECI in competitive bidding for selection of private sector developers for the installation and operation of renewable energy projects to be identified.","","","","","","The objective of the Project is to assist the Solar Energy Corporation of India Limited (SECI), Ministry of New and Renewable Energy, Government of India in identifying and developing multiple renewable energy projects, including ground mounted solar projects in States with underdeveloped potential and innovative projects such as floating solar, hybrid, energy storage and possibly off-shore wind projects across multiple States, through Public Private Partnership (PPP) transactions.

The successful implementation of the Project is expected to result in clean power generation, avoidance of greenhouse gas emissions, and mobilization of private sector investment in the renewable energy sector.","","","","","","","","","","","","","","",602265,"","",Transaction Advisory,"","",2023-04-01T04:00:00Z
HCMC OP Facility,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2020-06-12T04:00:00Z,"","","","IFC will advise Pham Ngoc Thac University of Medicine in structuring and tendering a public-private partnership project for an outpatient care and training facility in Ho Chi Minh City. The private partner will be expected to construct, equip, maintain, and provide non-clinical facility management services.","","","","","",The Project is expected to provide improved access to quality health services for the people of HCMC and to result in private investment in HCMC's health services and infrastructure.,"","","","","","","","","","","","","","",603207,"","",Transaction Advisory,"",2019-04-15T04:00:00Z,2019-04-05T04:00:00Z
AMRU Rice AS,Advisory Services,"",Active,East Asia and the Pacific,Cambodia,"","",2020-06-12T04:00:00Z,"","","","The overall goal is to develop a sustainable, traceable and inclusive rice supply chain and support the introduction of sustainable rice production compliant with guidelines developed by SRP and IRRI. In addition, the project will support AMRU for IFS Foods Standard certification, which enables AMRU to enter into retail markets. The project aims to enhance overall AMRU supply chain performance and increase revenues for firm and smallholder farmers through improving productivity and efficiency through training and adoption of new practices, technologies and inputs.

Despite the undisputed development taken place over the past years, the Cambodia rice sector still faces some key challenges including insufficient and inadequate supply from farmers, poor process quality, and poor market access. At farm level, challenges lie with still suboptimal farming practices, limited application of respective technologies, relevant know-how, insufficient quantities of improved seed, other quality inputs, and access to finance. Yield is lowest among rice production countries in the Mekong (2.8MT/ha vs 4.5 in Vietnam and 3.2 in Thailand). A lack of strong organizational structures slows productivity gain: Agriculture Cooperatives (AC) can assist their members to obtain quality inputs at more economical condition and facilitate access to finance. In addition, women farmers play important roles in both rice production and post-harvest activities, particularly in managing household incomes and expenditures. However, women farmers have limited knowledge on financial literacy and business management skills, preventing them from making the productive decision and participation in AC leadership roles.  

At mill level, remaining inefficiencies in processing, storage capacity, control over the supply chain and weak or lack of extension services, paired with limited marketing knowledge, result in low value addition and limited growth opportunities. Furthermore, poor market access due to lack of knowledge on potential markets, and product and market diversification limits Cambodia rice sector to fully realize its potential growth.    

In addition, the rice sector's fast devolvement and continued growth come at a price to the environment and cause a variety of challenges on farm, mill and firm levels. To sustain production without depleting & destroying essential natural resources, environmentally-smart production processes are needed. Rice milling must become more cost efficient to gain economic competitiveness. To supply large retailers in high value markets, exporters must improve corporate governance and adopt Environment, Health and Sustainability Management Systems (EHS MS). Meeting such buyers' audit requirements is fundamental and include various product and production quality certification. 

AMRU, a leading CMB rice exporter, has engaged with IFC on market development, Food Safety & seed supply chain in the past. However, AMRU still faces challenges in its supply chains - lack of available quality rice, lacks traceability, and poor adoption of sustainable cultivation - and is seeking IFC AS to support on these areas.  

The project will take an integrated approach in addressing the above-mentioned market failures. The AS works with AMRU are expected to reach 2,000 farmers (direct)  by 2021 across all interventions through the following specific objectives: (1)  Increase cultivation of SRP rice and access to improved quality seed, enhance business management skill and financial literacy, and develop product traceability; (2) Improve farmer groups/cooperatives capacity; (3) Improve AMRU Rice access to export and retail markets through introduction of Food Safety certifications including IFS Foods Standard and HACCP, and Halal certifications; and (4) develop and implement comprehensive Group-level Integrated EHS (Environment, Health and Safety) Management Systems.","","","","","","The overall goal is to develop a sustainable, traceable and inclusive rice supply chain and support the introduction of sustainable rice production compliant with guidelines developed by SRP and IRRI. In addition, the project will support AMRU for IFS Foods Standard certification, which enables AMRU to enter into retail markets. The project aims to enhance overall AMRU supply chain performance and increase revenues for firm and smallholder farmers through improving productivity and efficiency through training and adoption of new practices, technologies and inputs.

Despite the undisputed development taken place over the past years, the Cambodia rice sector still faces some key challenges including insufficient and inadequate supply from farmers, poor process quality, and poor market access. 

At farm level, challenges lie with still suboptimal farming practices, limited application of respective technologies, relevant know-how, insufficient quantities of improved seed, other quality inputs, and access to finance. Yield is lowest among rice production countries in the Mekong (2.8MT/ha vs 4.5 in Vietnam and 3.2 in Thailand). A lack of strong organizational structures slows productivity gain: Agriculture Cooperatives (AC) can assist their members to obtain quality inputs at more economical condition and facilitate access to finance. In addition, women farmers play important roles in both rice production and post-harvest activities, particularly in managing household incomes and expenditures. However, women farmers have limited knowledge on financial literacy and business management skills, preventing them from making the productive decision and participation in AC leadership roles.  

At mill level, remaining inefficiencies in processing, storage capacity, control over the supply chain and weak or lack of extension services, paired with limited marketing knowledge, result in low value addition and limited growth opportunities. Furthermore, poor market access due to lack of knowledge on potential markets, and product and market diversification limits Cambodia rice sector to fully realize its potential growth.    

In addition, the rice sector's fast devolvement and continued growth come at a price to the environment and cause a variety of challenges on farm, mill and firm levels. To sustain production without depleting & destroying essential natural resources, environmentally-smart production processes are needed. Rice milling must become more cost efficient to gain economic competitiveness. To supply large retailers in high value markets, exporters must improve corporate governance and adopt Environment, Health and Sustainability Management Systems (EHS MS). Meeting such buyers' audit requirements is fundamental and include various product and production quality certifications.

The AS works with AMRU are expected to reach 2,000 farmers (direct)  by 2021 across all interventions through the following specific objectives: (1)  Increase cultivation of SRP rice and access to improved quality seed, enhance business management skill and financial literacy, and develop product traceability; (2) Improve farmer groups/cooperatives capacity; (3) Improve AMRU Rice access to export and retail markets through introduction of Food Safety certifications including IFS Foods Standard and HACCP, and Halal certifications; and (4) develop and implement comprehensive Group-level Integrated EHS (Environment, Health and Safety) Management Systems.","","","","","","","","","","","","","","",603679,"","","Manufacturing, Agribusiness & Services","",2019-04-24T04:00:00Z,2019-04-01T04:00:00Z
PNG CB II,Advisory Services,"",Active,East Asia and the Pacific,Papua New Guinea,"","",2020-06-12T04:00:00Z,"","","","The Papua New Guinea Credit Reporting project will work strengthening the credit information system in Solomon Islands by developing a credit reporting legal and regulatory framework; modernizing the credit reporting system to include comprehensive credit reporting and strengthening the capacity, outreach and awareness of the existing credit bureaus.","","","","","",The project aims to improve access to credit for individuals and MSMEs in Papua New Guinea by helping the country to improve its credit reporting system.,"","","","","","","","","","","","","","",604441,"","",Other,"",2020-04-20T04:00:00Z,2020-04-20T04:00:00Z
Van CB II,Advisory Services,"",Active,East Asia and the Pacific,Vanuatu,"","",2020-06-12T04:00:00Z,"","","","The Vanuatu Credit Reporting project will work strengthening the credit information system in Solomon Islands by developing a credit reporting legal and regulatory framework; modernizing the credit reporting system to include comprehensive credit reporting and strengthening the capacity, outreach and awareness of the existing credit bureaus.","","","","","",The project aims to improve access to credit for individuals and MSMEs in Vanuatu by helping the country to improve its credit reporting system.,"","","","","","","","","","","","","","",604443,"","",Other,"",2020-04-20T04:00:00Z,2020-04-20T04:00:00Z
SI CB II,Advisory Services,"",Active,East Asia and the Pacific,Solomon Islands,"","",2020-06-12T04:00:00Z,"","","","The Solomon Islands Credit Reporting project will work strengthening the credit information system in Solomon Islands by developing a credit reporting legal and regulatory framework; modernizing the credit reporting system to include comprehensive credit reporting and strengthening the capacity, outreach and awareness of the existing credit bureaus.","","","","","",The project aims to improve access to credit for individuals and MSMEs in Solomon Islands by helping the country to improve its credit reporting system.,"","","","","","","","","","","","","","",604442,"","",Other,"",2020-04-20T04:00:00Z,2020-04-20T04:00:00Z
Aracaju SL,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2020-06-11T04:00:00Z,"","","","The project is expected to (i) reduce Aracaju municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","With a particular focus on enhancing street lighting services and lowering GHG emissions, this transaction is expected to improve urban infrastructure quality and service provision, contributing to the safety of Municipality's inhabitants.The project is expected to (i) reduce Aracaju municipality's consumption of electricity and greenhouse gas emissions, including CO2, through the use of energy-efficient lights and advanced street lighting management systems; (ii) expand street lighting services to underserved communities in the municipality; (iii) reduce safety risks related to poorly lit streets; (iv) improve lighting quality and lower the frequency of service interruptions; (v) improve infrastructure for the illumination grid, modernizing it and integrating features as previously developed in smart cities; and (vi) promote overall urban improvements.","","","","","","","","","","","","","","",604256,"","",Transaction Advisory,"",2019-08-12T04:00:00Z,2019-07-01T04:00:00Z
Health Q Egypt,Advisory Services,"",Active,Africa,"Egypt, Arab Republic of","","",2020-06-11T04:00:00Z,"","","","The Egypt Healthcare Quality Project consists of two components: 

Component 1: Advisory work to upgrade quality assurance in healthcare facilities. The project will work with healthcare facilities to increase the quality of care. The team will apply advisory offerings with varying level of depth and interaction with clients. We expect that the three major demanded offerings are (i) rapid quality assessment, (ii) full quality assessment, and (iii) implementation support. 

Component 2: Enhancing awareness of healthcare quality and patient safety issues by medical facilities and capacity to advise healthcare facilities on such issues across the healthcare sector in Egypt by: (a) delivering of awareness events and (b) providing training to local healthcare quality service providers to develop a cadre of experts who can advise healthcare facilities in the future.

IFC's healthcare quality assessments and follow up quality improvement programs will provide clients with clear understanding of the deficiencies in quality and action plans to implement improvements. A knowledge base on health quality assurance will be made available to clinics, hospitals and diagnostic centers. The service will become more accessible to clients in Egypt through development of qualified consultants who can deliver assessments and thus facilitate tangible improvements in processes and quality of care. The project will promote and support good practice that directly contributes to the continued development of health services in Egypt, as health care providers with better quality assurance practices are more likely to attract investment. With improvements in quality assurance processes and practices implemented by medical facilities in the region, more patients in Egypt will receive access to safe and quality health care.","","","","","","Lack of quality assurance and patient safety in Egypt is a major concern. Even basic safety practices are still not universally implemented. According to a 2018 analysis published by Lancet *, poor quality of care in Egypt results in more preventable deaths (~63k/year) than deaths due to lack of access to healthcare services (~31k/year). Developmental assistance in health area is often targeted towards communicable diseases and maternal and child health. While better quality assurance standards can directly contribute to eliminating those issues, healthcare providers in Egypt are rarely aware how to enhance quality assurance and entailed benefits for safety of its patients. Registration and Accreditation requirements are introduced, but medical facilities lack clarity of the standards, the compliance criteria and the assessment methodology.   

The overall goal of the IFC Egypt Quality Advisory Program is to increase access to safe and quality healthcare by improving the quality assurance processes and practices by healthcare service providers in Egypt. IFC will also enhance awareness and knowledge of quality assurance processes by healthcare providers and other stakeholders. This will contribute among other factors to increased investment in healthcare facilities as healthcare providers with better quality assurance practices can become more attractive investment targets for IFC and other financiers. The program is expected to achieve the following impact targets within 2 years after project completion: 
- 210,000 people receiving access to improved healthcare services from program clients.  
- At least US$50 million financing from all financiers facilitated by project activities. 

* Kruk M.E., Gage A. D.Joseph N.T., Danaei,G., GarcÃ­a-SaisÃ³ S., Salomon J.A. (2018, September 5). Mortality due to low-quality health systems in the universal health coverage era: A systematic analysis of amenable deaths in 137 countries. The Lancet. http://dx.doi.org/10.1016/S0140-6736(18)31668-4","","","","","","","","","","","","","","",605283,"","","Manufacturing, Agribusiness & Services","",2020-04-15T04:00:00Z,2020-05-01T04:00:00Z
